RiderID,RaceName,RaceType,Year,Position,BikeNumber,RiderURL,Rider1,Rider2,Machine,Time,Speed
8532,TT 2012 Dainese Superbike TT Race Results,TT 2012 Dainese Superbike TT Race Results,2012,25,30,http://www.iomtt.com/TT-Database/competitors.aspx?ride_id=8532,Paul SHOESMITH,,1000 BMW,55:53.9,117.197
9790,TT 2012 Dainese Superbike TT Race Results,TT 2012 Dainese Superbike TT Race Results,2012,26,41,http://www.iomtt.com/TT-Database/competitors.aspx?ride_id=9790,David Hewson,,1000 KAWASAKI,56:05.5,117.002
8538,TT 2012 Dainese Superbike TT Race Results,TT 2012 Dainese Superbike TT Race Results,2012,27,47,http://www.iomtt.com/TT-Database/competitors.aspx?ride_id=8538,Scott WILSON,,1000 BMW,56:56.9,116.143
10093,TT 2012 Dainese Superbike TT Race Results,TT 2012 Dainese Superbike TT Race Results,2012,28,77,http://www.iomtt.com/TT-Database/competitors.aspx?ride_id=10093,William Davison,,1000 Honda,57:06.9,115.978
8645,TT 2012 Dainese Superbike TT Race Results,TT 2012 Dainese Superbike TT Race Results,2012,29,48,http://www.iomtt.com/TT-Database/competitors.aspx?ride_id=8645,Jules Croft,,1000 Honda,57:18.2,115.793
8610,TT 2012 Dainese Superbike TT Race Results,TT 2012 Dainese Superbike TT Race Results,2012,30,19,http://www.iomtt.com/TT-Database/competitors.aspx?ride_id=8610,Mark Miller,,1000 APRILIA,57:24.0,115.698
9873,TT 2012 Dainese Superbike TT Race Results,TT 2012 Dainese Superbike TT Race Results,2012,31,54,http://www.iomtt.com/TT-Database/competitors.aspx?ride_id=9873,Steve Heneghan,,1000 KAWASAKI,57:54.0,115.206
4415,TT 2012 Dainese Superbike TT Race Results,TT 2012 Dainese Superbike TT Race Results,2012,32,50,http://www.iomtt.com/TT-Database/competitors.aspx?ride_id=4415,George Spence,,1000 APRILIA,59:50.7,113.337
8393,TT 2012 Dainese Superbike TT Race Results,TT 2012 Dainese Superbike TT Race Results,2012,33,67,http://www.iomtt.com/TT-Database/competitors.aspx?ride_id=8393,Ryan Mccay,,1000 Honda,00:27.6,112.758
9894,TT 2012 Dainese Superbike TT Race Results,TT 2012 Dainese Superbike TT Race Results,2012,34,21,http://www.iomtt.com/TT-Database/competitors.aspx?ride_id=9894,Rico Penzkofer,,1000 BMW,00:48.1,112.439
10149,TT 2012 Dainese Superbike TT Race Results,TT 2012 Dainese Superbike TT Race Results,2012,35,85,http://www.iomtt.com/TT-Database/competitors.aspx?ride_id=10149,John Ingram,,1000 Honda,00:49.3,112.42
9866,TT 2012 Dainese Superbike TT Race Results,TT 2012 Dainese Superbike TT Race Results,2012,36,74,http://www.iomtt.com/TT-Database/competitors.aspx?ride_id=9866,Yoshinari Matsushita,,1000 BMW,00:56.8,112.304
4537,TT 2012 Dainese Superbike TT Race Results,TT 2012 Dainese Superbike TT Race Results,2012,37,76,http://www.iomtt.com/TT-Database/competitors.aspx?ride_id=4537,Maria Costello,,1000 KAWASAKI,01:08.1,112.129
10150,TT 2012 Dainese Superbike TT Race Results,TT 2012 Dainese Superbike TT Race Results,2012,38,83,http://www.iomtt.com/TT-Database/competitors.aspx?ride_id=10150,Graham English,,1000 BMW,04:36.3,109.007
3882,TT 2012 Dainese Superbike TT Race Results,TT 2012 Dainese Superbike TT Race Results,2012,39,58,http://www.iomtt.com/TT-Database/competitors.aspx?ride_id=3882,Dave Madsen-Mygdal,,1000 YAMAHA,05:04.1,108.602
4541,TT 2012 Dainese Superbike TT Race Results,TT 2012 Dainese Superbike TT Race Results,2012,DNF,2,http://www.iomtt.com/TT-Database/competitors.aspx?ride_id=4541,Ryan Farquhar,,,,0
4343,TT 2012 Dainese Superbike TT Race Results,TT 2012 Dainese Superbike TT Race Results,2012,DNF,8,http://www.iomtt.com/TT-Database/competitors.aspx?ride_id=4343,Adrian Archibald,,,,0
4195,TT 2012 Dainese Superbike TT Race Results,TT 2012 Dainese Superbike TT Race Results,2012,DNF,12,http://www.iomtt.com/TT-Database/competitors.aspx?ride_id=4195,Michael Rutter,,,,0
3649,TT 2012 Dainese Superbike TT Race Results,TT 2012 Dainese Superbike TT Race Results,2012,DNF,14,http://www.iomtt.com/TT-Database/competitors.aspx?ride_id=3649,Ian Lougher,,,,0
10074,TT 2012 Dainese Superbike TT Race Results,TT 2012 Dainese Superbike TT Race Results,2012,DNF,17,http://www.iomtt.com/TT-Database/competitors.aspx?ride_id=10074,Simon Andrews,,,,0
4974,TT 2012 Dainese Superbike TT Race Results,TT 2012 Dainese Superbike TT Race Results,2012,DNF,23,http://www.iomtt.com/TT-Database/competitors.aspx?ride_id=4974,Mark Parrett,,,,0
